Guarantee ID,Journey Index,Type,Subtype,Journey,Owner Package,Surface,Status,Dependencies,Actor Roles,Forbidden Roles,Device Coverage,Preconditions,Scene Manifest,API Verifier Refs,Content Verifier Refs,Audit Verifier Refs,Negative Cases,Release Gates,Evidence Required,Notes,Source Path
guarantee.team.team.create-team.012,12,team,team,Create Team,@treeseed/admin,admin-ui,active,guarantee.user.auth.user-login.004; journey:4,verified_user,anonymous_user,desktop_chromium; tablet_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 4,../scenes/create-team.scene.yaml,api.team.create.correlated,,api.team.create.correlated,anonymous-denied,core; release,playwright_trace; scene_video; api_verification_log,Create the durable team identity and membership boundary used by active-team selection and team management.,packages/admin/guarantees/team/team/create-team.guarantee.yaml
guarantee.team.team.switch-active-team.013,13,team,team,Switch Active Team,@treeseed/admin,admin-ui,active,guarantee.team.team.create-team.012; journey:12,team_admin; team_owner,anonymous_user,desktop_chromium; tablet_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 12,../scenes/switch-active-team.scene.yaml,api.team.active.correlated,,,anonymous-denied,core; release,playwright_trace; scene_video; api_verification_log,Change the active team context used by admin and API requests; must refresh project capacity and membership-scoped views.,packages/admin/guarantees/team/team/switch-active-team.guarantee.yaml
guarantee.team.team.edit-team-settings.014,14,team,team,Edit Team Settings,@treeseed/admin,admin-ui,active,guarantee.team.team.switch-active-team.013; journey:13,team_admin; team_owner,contributor,desktop_chromium; tablet_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 12,../scenes/edit-team-settings.scene.yaml,api.team.update.correlated,,api.team.update.correlated,contributor-denied,core; release,playwright_trace; scene_video; api_verification_log,Update team metadata and policy knobs; should not mutate package or provider infrastructure directly.,packages/admin/guarantees/team/team/edit-team-settings.guarantee.yaml
guarantee.team.team.view-team-overview.015,15,team,team,View Team Overview,@treeseed/admin,admin-ui,active,guarantee.team.team.edit-team-settings.014; journey:14,team_member,anonymous_user; non_member,desktop_chromium; tablet_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 12,../scenes/view-team-overview.scene.yaml,api.team.overview.correlated,,,anonymous-denied; non-member-denied,core; release,playwright_trace; scene_video; api_verification_log,Public identity is covered separately by guarantee.team.team.view-public-team-profile.021.,packages/admin/guarantees/team/team/view-team-overview.guarantee.yaml
guarantee.team.membership.invite-team-members.017,17,team,membership,Invite Team Members,@treeseed/admin,admin-ui,active,guarantee.team.team.edit-team-settings.014; journey:14,team_admin; team_owner,contributor,desktop_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 12,./scenes/invite-team-members.scene.yaml,api.team.invite.correlated,,api.team.invite.correlated,contributor-denied,core; release,playwright_trace; scene_video; api_verification_log,Create team invitation records and send notices; roles should map to API/admin authorization rather than client-only checks.,packages/admin/guarantees/team/membership/invite-team-members.guarantee.yaml
guarantee.team.membership.accept-team-invitation.018,18,team,membership,Accept Team Invitation,@treeseed/admin,admin-ui,active,guarantee.team.membership.invite-team-members.017; journey:17,invited_user,mismatched_user,desktop_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 17,./scenes/accept-team-invitation.scene.yaml,api.team.accept.correlated,,api.team.accept.correlated,mismatched-user-denied; invalid-expired-revoked-replay,core; release,playwright_trace; scene_video; api_verification_log,Redeem an invite and attach the user to the team; should handle authenticated and newly registered users cleanly.,packages/admin/guarantees/team/membership/accept-team-invitation.guarantee.yaml
guarantee.team.membership.change-member-role.019,19,team,membership,Change Member Role,@treeseed/admin,admin-ui,active,guarantee.team.membership.accept-team-invitation.018; journey:18,team_admin; team_owner,contributor,desktop_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 18,./scenes/change-member-role.scene.yaml,api.team.role.correlated,,api.team.role.correlated,contributor-denied,core; release,playwright_trace; scene_video; api_verification_log,Update membership role with authorization and last-owner protections; changes should immediately affect API permission decisions.,packages/admin/guarantees/team/membership/change-member-role.guarantee.yaml
guarantee.team.membership.remove-team-member.020,20,team,membership,Remove Team Member,@treeseed/admin,admin-ui,active,guarantee.team.membership.change-member-role.019; journey:19,team_admin; team_owner,contributor,desktop_chromium; mobile_chromium,integrated_treeseed_project; Journey dependencies must be satisfied: 18,./scenes/remove-team-member.scene.yaml,api.team.remove.correlated,,api.team.remove.correlated,contributor-denied,core; release,playwright_trace; scene_video; api_verification_log,Remove or deactivate a team member with auditability; must avoid orphaning owned projects decisions or running workdays.,packages/admin/guarantees/team/membership/remove-team-member.guarantee.yaml
guarantee.team.team.view-public-team-profile.021,,team,team,View Public Team Profile,@treeseed/admin,admin-ui,active,guarantee.team.team.edit-team-settings.014; journey:14,anonymous_user,,desktop_chromium; tablet_chromium; mobile_chromium,integrated_treeseed_project; The owning team identity must already exist.,../scenes/view-public-team-profile.scene.yaml,api.team.public-profile.correlated,,,archived-not-found,core; release,playwright_trace; scene_video; api_verification_log,"This supplemental guarantee intentionally has no CSV journey index.; Public projects, templates, knowledge packs, and their publication trail are explicit public projections, never private operational aggregates.",packages/admin/guarantees/team/team/view-public-team-profile.guarantee.yaml
guarantee.team.team.delete-team.016,16,team,team,Delete Team,@treeseed/admin,admin-ui,active,guarantee.team.membership.remove-team-member.020; guarantee.team.team.view-public-team-profile.021,team_admin; team_owner,project_lead,desktop_chromium; mobile_chromium,integrated_treeseed_project; Membership lifecycle and public profile verification must finish before deletion.,../scenes/delete-team.scene.yaml,api.team.delete.correlated,,api.team.delete.correlated,project-lead-denied,core; release,playwright_trace; scene_video; api_verification_log,"Archiving is reversible during the displayed recovery window; permanent deletion is separately available without an archive delay and requires blocker checks, the exact team name, and the current password.",packages/admin/guarantees/team/team/delete-team.guarantee.yaml
